,emoji,single,cat,sent
0,✅,0,3,1
1,✨,1,15,1
2,🌚,2,9,1
3,🎉,3,5,1
4,🎶,4,8,1
5,👀,5,10,1
6,👇,6,11,1
7,👌,7,3,1
8,👍,8,8,1
9,👏,9,8,1
10,👑,10,14,1
11,💀,11,16,0
12,💔,12,17,0
13,💕,13,4,1
14,💖,14,15,1
15,💗,15,15,1
16,💙,16,4,1
17,💚,17,4,1
18,💛,18,4,1
19,💜,19,4,1
20,💞,20,15,1
21,💪,21,19,1
22,💯,22,3,1
23,🔥,23,12,1
24,😀,24,1,1
25,😁,25,1,1
26,😂,26,0,1
27,😃,27,1,1
28,😄,28,1,1
29,😅,29,1,1
30,😆,30,1,1
31,😇,31,1,1
32,😈,32,19,1
33,😉,33,1,1
34,😊,34,1,1
35,😋,35,6,1
36,😌,36,6,1
37,😍,37,4,1
38,😎,38,1,1
39,😏,39,1,1
40,😐,40,13,0
41,😑,41,13,0
42,😒,42,18,0
43,😔,43,0,0
44,😕,44,18,0
45,😘,45,15,1
46,😜,46,6,1
47,😝,47,6,1
48,😞,48,18,0
49,😡,49,0,0
50,😢,50,0,1
51,😣,51,7,0
52,😤,52,5,0
53,😩,53,2,0
54,😪,54,2,0
55,😫,55,2,0
56,😬,56,18,1
57,😭,57,0,0
58,😱,58,9,1
59,😳,59,18,1
60,😴,60,2,0
61,🙈,61,10,1
62,🙌,62,6,1
63,🙏,63,0,1
